high,NUMBER_ASSAULTS
48,65
59,46
60,42
34,33
26,24
19,39
19,32
26,35
41,25
57,20
66,35
70,34
40,39
42,41
42,40
57,45
65,41
45,41
55,29
63,40
68,54
64,32
58,31
50,38
63,29
44,31
39,40
46,33
38,22
46,36
54,39
52,57
42,37
35,41
41,48
58,43
62,42
65,40
56,37
33,25
59,35
68,40
68,32
51,33
57,41
49,49
54,35
71,42
62,31
59,46
74,44
72,42
73,44
72,37
81,26
54,31
51,37
60,30
68,28
71,32
50,26
43,40
59,35
71,25
67,37
67,34
65,40
75,29
54,42
40,49
43,28
43,41
39,29
40,35
47,27
52,39
52,43
56,40
74,38
67,51
51,43
65,42
80,44
80,41
73,45
73,39
70,35
68,37
80,35
61,31
54,53
69,29
75,34
74,26
83,39
59,28
60,42
70,38
80,29
83,45
73,50
74,43
84,42
87,26
86,50
81,54
75,38
77,45
85,52
85,38
72,44
57,42
64,39
77,23
77,47
86,45
74,45
79,42
86,34
85,51
70,50
74,33
66,46
65,41
55,25
62,42
69,44
69,43
86,41
87,42
78,47
63,33
77,49
84,55
86,55
87,44
87,43
88,32
87,43
89,37
82,37
73,42
78,36
69,58
70,44
83,36
87,46
77,43
84,53
85,37
84,32
83,28
87,30
90,45
88,55
86,38
81,36
72,33
76,38
84,43
86,40
90,56
92,30
94,35
94,48
83,43
89,44
91,52
88,42
86,40
89,33
93,42
82,33
86,37
82,57
84,47
81,14
79,36
85,44
91,34
88,29
88,48
90,51
89,35
82,37
83,40
81,39
91,47
88,35
88,43
90,34
87,40
92,31
93,40
90,44
87,47
90,39
91,32
92,50
95,31
95,47
98,41
97,52
89,52
92,38
88,46
92,45
89,29
87,40
83,45
87,48
90,35
90,46
86,54
90,36
82,43
82,41
75,37
80,37
85,31
85,49
89,46
88,48
87,36
87,43
87,28
92,39
93,37
96,27
88,38
90,37
93,37
93,53
91,46
83,40
83,38
80,30
82,44
87,43
82,30
82,38
84,41
88,43
74,27
66,39
83,32
88,36
77,30
73,40
72,27
79,53
79,36
78,31
72,47
76,33
66,33
77,47
84,34
88,31
88,61
86,51
77,42
90,37
93,44
91,44
90,44
91,45
90,32
91,42
92,59
76,27
81,45
74,35
78,33
80,46
83,50
84,46
80,45
84,48
83,44
72,35
79,32
76,32
75,30
67,45
75,29
85,22
80,38
65,32
67,38
72,34
75,29
78,27
78,40
78,47
70,25
61,38
54,30
66,39
66,36
43,33
41,33
58,32
51,38
63,41
73,38
71,40
70,39
78,58
73,42
52,36
55,41
60,34
44,36
49,34
55,44
48,36
54,23
53,38
50,20
59,29
67,31
43,33
51,32
59,41
46,30
49,38
61,39
63,39
57,25
66,23
66,52
63,31
57,26
57,38
60,40
62,43
69,38
63,29
49,47
39,34
35,20
34,32
44,27
55,31
46,35
50,22
44,30
39,35
53,30
47,39
51,36
55,34
56,24
59,29
59,17
58,35
39,21
32,33
31,20
21,32
26,29
31,26
29,27
21,37
